"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
60,25,0.3,"TT",21.2773743664156
60,75,0.3,"TT",14.3334853608172
90,25,0.3,"TT",21.2705150582986
90,75,0.3,"TT",15.6154891590102
60,25,0.3,"AC",26.8093593308547
60,75,0.3,"AC",19.7021601166012
90,25,0.3,"AC",25.9680904468071
90,75,0.3,"AC",21.4432718729108
60,25,0.3,"TT",19.4746667417128
60,75,0.3,"TT",15.1055473649984
90,25,0.3,"TT",20.7673502482925
90,75,0.3,"TT",15.454996280969
60,25,0.3,"AC",24.4650934281296
60,75,0.3,"AC",19.9216522609316
90,25,0.3,"AC",25.3617099379521
90,75,0.3,"AC",22.6141151823258
60,25,0.3,"TT",20.6998338499101
60,75,0.3,"TT",15.8544272704045
90,25,0.3,"TT",23.0642319343274
90,75,0.3,"TT",14.9692269261443
60,25,0.3,"AC",25.5770083032049
60,75,0.3,"AC",21.6092704180421
90,25,0.3,"AC",26.0952526714478
90,75,0.3,"AC",19.6442133306471
60,25,0.3,"TT",20.4267438907888
60,75,0.3,"TT",13.5104681012013
90,25,0.3,"TT",21.4773883772226
90,75,0.3,"TT",15.7630070528076
60,25,0.3,"AC",25.8060709650688
60,75,0.3,"AC",18.9800773651306
90,25,0.3,"AC",26.0947331841543
90,75,0.3,"AC",21.3792620995629
60,25,0.3,"TT",21.5857563528822
60,75,0.3,"TT",14.4838324994473
90,25,0.3,"TT",19.855734439251
90,75,0.3,"TT",16.3265973923861
60,25,0.3,"AC",25.7876427343883
60,75,0.3,"AC",19.8462546053395
90,25,0.3,"AC",25.9765969694831
90,75,0.3,"AC",20.1643496210265
60,25,0.3,"TT",20.9048069615833
60,75,0.3,"TT",14.4167186135817
90,25,0.3,"TT",20.1773949626727
90,75,0.3,"TT",15.8299287749347
60,25,0.3,"AC",26.0536323366484
60,75,0.3,"AC",19.6109177950881
90,25,0.3,"AC",27.2497831211287
90,75,0.3,"AC",24.2486593796325
60,25,0.3,"TT",20.3696727181839
60,75,0.3,"TT",12.7478525802567
90,25,0.3,"TT",20.8367855551779
90,75,0.3,"TT",16.6588592620898
60,25,0.3,"AC",25.304733013293
60,75,0.3,"AC",18.6828528185346
90,25,0.3,"AC",25.9802451437515
90,75,0.3,"AC",22.4261731014256
60,25,0.3,"TT",20.5861992817006
60,75,0.3,"TT",13.7519294890967
90,25,0.3,"TT",22.2569426356284
90,75,0.3,"TT",16.8205945265531
60,25,0.3,"AC",26.3562364933435
60,75,0.3,"AC",19.1924777544694
90,25,0.3,"AC",25.9373354001907
90,75,0.3,"AC",21.7536654061717
60,25,0.3,"TT",22.6823579531663
60,75,0.3,"TT",13.5773461406008
90,25,0.3,"TT",21.2126524248916
90,75,0.3,"TT",16.9946811482914
60,25,0.3,"AC",25.7136899826313
60,75,0.3,"AC",19.0547656279896
90,25,0.3,"AC",27.6488444814367
90,75,0.3,"AC",22.6429647485706
60,25,0.3,"TT",18.622301834552
60,75,0.3,"TT",14.8402990126301
90,25,0.3,"TT",23.0139151129107
90,75,0.3,"TT",17.1250469613444
60,25,0.3,"AC",23.6978035501928
60,75,0.3,"AC",21.2689149829571
90,25,0.3,"AC",25.8966970714354
90,75,0.3,"AC",20.4512179118939
