"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
48,20,0.3,"TT",23.9224187143247
48,40,0.3,"TT",20.4858605024731
48,60,0.3,"TT",18.2853883201606
48,80,0.3,"TT",14.9167885347702
66,20,0.3,"TT",19.2969893017691
66,40,0.3,"TT",18.9769597995729
66,60,0.3,"TT",15.1240518766084
66,80,0.3,"TT",13.5909820069081
84,20,0.3,"TT",22.6439128573017
84,40,0.3,"TT",16.4990364415214
84,60,0.3,"TT",18.8457569882568
84,80,0.3,"TT",16.0040066959457
102,20,0.3,"TT",21.9525975862235
102,40,0.3,"TT",20.2552697377166
102,60,0.3,"TT",21.5635651321397
102,80,0.3,"TT",18.6051271559141
48,20,0.3,"TT",20.3402984127543
48,40,0.3,"TT",19.5129613302756
48,60,0.3,"TT",17.6028908589801
48,80,0.3,"TT",15.5208432369084
66,20,0.3,"TT",20.3216868194878
66,40,0.3,"TT",18.1400115666913
66,60,0.3,"TT",15.7906478295556
66,80,0.3,"TT",14.8282917579848
84,20,0.3,"TT",20.8621124310446
84,40,0.3,"TT",19.5997924916312
84,60,0.3,"TT",18.8901060843154
84,80,0.3,"TT",15.3830049579779
102,20,0.3,"TT",19.9515756289593
102,40,0.3,"TT",22.0520066101507
102,60,0.3,"TT",20.8821634357547
102,80,0.3,"TT",18.8755289296411
48,20,0.3,"TT",20.7776923706061
48,40,0.3,"TT",19.804591534256
48,60,0.3,"TT",17.3677083617688
48,80,0.3,"TT",14.3458599230063
66,20,0.3,"TT",22.6754629485912
66,40,0.3,"TT",17.8229939947907
66,60,0.3,"TT",15.9087090687443
66,80,0.3,"TT",14.3869157577982
84,20,0.3,"TT",20.2801400386699
84,40,0.3,"TT",19.6853052478463
84,60,0.3,"TT",17.1261784154594
84,80,0.3,"TT",15.1751504579187
102,20,0.3,"TT",21.2221972411221
102,40,0.3,"TT",22.8018931389975
102,60,0.3,"TT",21.4669276248454
102,80,0.3,"TT",17.0925933015747
48,20,0.3,"TT",21.5474970150906
48,40,0.3,"TT",18.8901369773327
48,60,0.3,"TT",18.2809012109683
48,80,0.3,"TT",14.883369393276
66,20,0.3,"TT",21.2804033437567
66,40,0.3,"TT",15.6110729274826
66,60,0.3,"TT",16.8928813139529
66,80,0.3,"TT",14.2738686653822
84,20,0.3,"TT",20.910377100236
84,40,0.3,"TT",21.2593974598571
84,60,0.3,"TT",20.0089070497103
84,80,0.3,"TT",15.2773398688805
102,20,0.3,"TT",21.7280635214795
102,40,0.3,"TT",21.3688324237107
102,60,0.3,"TT",20.59719886138
102,80,0.3,"TT",19.7397468719853
48,20,0.3,"TT",21.1727665114153
48,40,0.3,"TT",18.6539315354969
48,60,0.3,"TT",16.4681683511234
48,80,0.3,"TT",14.4606014332437
66,20,0.3,"TT",23.0460513451831
66,40,0.3,"TT",18.933276233824
66,60,0.3,"TT",15.2863938697572
66,80,0.3,"TT",14.1508337240493
84,20,0.3,"TT",21.5604030188784
84,40,0.3,"TT",18.6240041276089
84,60,0.3,"TT",18.5413073825824
84,80,0.3,"TT",16.1442180054517
102,20,0.3,"TT",23.0134061425048
102,40,0.3,"TT",21.4077382396597
102,60,0.3,"TT",21.8094040341583
102,80,0.3,"TT",18.078282532058
48,20,0.3,"TT",21.0815055785549
48,40,0.3,"TT",20.2413559371419
48,60,0.3,"TT",16.2777854665631
48,80,0.3,"TT",14.7075115394291
66,20,0.3,"TT",21.2990114931126
66,40,0.3,"TT",16.1378018400583
66,60,0.3,"TT",16.6781027468357
66,80,0.3,"TT",15.3500042583263
84,20,0.3,"TT",20.4053647969961
84,40,0.3,"TT",19.973003016235
84,60,0.3,"TT",17.7922958822312
84,80,0.3,"TT",14.1463843098316
102,20,0.3,"TT",23.3711432847778
102,40,0.3,"TT",22.0264564943964
102,60,0.3,"TT",19.9807712369068
102,80,0.3,"TT",18.290894237901
48,20,0.3,"TT",20.8708485882992
48,40,0.3,"TT",20.8897787300933
48,60,0.3,"TT",17.6082647226106
48,80,0.3,"TT",15.1909313403904
66,20,0.3,"TT",22.599630231482
66,40,0.3,"TT",17.1906263619894
66,60,0.3,"TT",17.2021147441891
66,80,0.3,"TT",13.7454159067367
84,20,0.3,"TT",20.3548221982046
84,40,0.3,"TT",20.9033807569959
84,60,0.3,"TT",18.4695142351264
84,80,0.3,"TT",14.668187641652
102,20,0.3,"TT",22.9878810001411
102,40,0.3,"TT",21.6127391748187
102,60,0.3,"TT",20.7578897818152
102,80,0.3,"TT",17.6319501286321
48,20,0.3,"TT",21.7302302021122
48,40,0.3,"TT",18.8393147158057
48,60,0.3,"TT",16.9603755571902
48,80,0.3,"TT",15.1791365275044
66,20,0.3,"TT",21.3922019555403
66,40,0.3,"TT",16.6534403573957
66,60,0.3,"TT",16.7736220595392
66,80,0.3,"TT",15.6026731893411
84,20,0.3,"TT",21.6553557289982
84,40,0.3,"TT",19.9791058677814
84,60,0.3,"TT",20.0246297546289
84,80,0.3,"TT",15.0504705250451
102,20,0.3,"TT",22.1370416217159
102,40,0.3,"TT",21.2108000589817
102,60,0.3,"TT",22.0420962706154
102,80,0.3,"TT",16.2137322165314
48,20,0.3,"TT",22.4665943034578
48,40,0.3,"TT",20.5282955643537
48,60,0.3,"TT",16.9557844548137
48,80,0.3,"TT",16.6424560703066
66,20,0.3,"TT",21.6493787150533
66,40,0.3,"TT",17.7386092679171
66,60,0.3,"TT",16.1408360662417
66,80,0.3,"TT",15.5728047702409
84,20,0.3,"TT",21.546919916696
84,40,0.3,"TT",18.1057477756223
84,60,0.3,"TT",18.8383390867962
84,80,0.3,"TT",17.741715770729
102,20,0.3,"TT",22.5785342465102
102,40,0.3,"TT",21.1031104128106
102,60,0.3,"TT",20.2661652609328
102,80,0.3,"TT",18.1527093882821
48,20,0.3,"TT",20.7807064768282
48,40,0.3,"TT",19.0837012073074
48,60,0.3,"TT",18.5402366738296
48,80,0.3,"TT",15.0183713079864
66,20,0.3,"TT",21.6724007366177
66,40,0.3,"TT",19.4261362661177
66,60,0.3,"TT",13.4479225076945
66,80,0.3,"TT",14.0191398951402
84,20,0.3,"TT",23.7966457257893
84,40,0.3,"TT",18.5051619994499
84,60,0.3,"TT",18.1497127007253
84,80,0.3,"TT",19.0039383666468
102,20,0.3,"TT",20.6654540781199
102,40,0.3,"TT",22.5102575329529
102,60,0.3,"TT",19.6834836347135
102,80,0.3,"TT",17.8840089082392
48,20,0.3,"TT",21.7055878583571
48,40,0.3,"TT",19.5594615488181
48,60,0.3,"TT",16.0471625778943
48,80,0.3,"TT",15.4317287316986
66,20,0.3,"TT",19.7883910179466
66,40,0.3,"TT",16.5939926284711
66,60,0.3,"TT",16.1170823846761
66,80,0.3,"TT",14.3581933028097
84,20,0.3,"TT",21.0097803423341
84,40,0.3,"TT",19.751486707017
84,60,0.3,"TT",18.24362811798
84,80,0.3,"TT",15.9753170885297
102,20,0.3,"TT",21.9103396821559
102,40,0.3,"TT",22.594596122366
102,60,0.3,"TT",21.3148929150417
102,80,0.3,"TT",17.7520907018738
48,20,0.3,"TT",19.1097013821838
48,40,0.3,"TT",18.6520422883849
48,60,0.3,"TT",17.2340814115188
48,80,0.3,"TT",16.890904199421
66,20,0.3,"TT",20.6437368329292
66,40,0.3,"TT",18.4369438609275
66,60,0.3,"TT",14.4164484104721
66,80,0.3,"TT",14.0139432268664
84,20,0.3,"TT",19.5128407733036
84,40,0.3,"TT",21.7096516518901
84,60,0.3,"TT",19.3233329163986
84,80,0.3,"TT",15.3692260488325
102,20,0.3,"TT",22.4532227147571
102,40,0.3,"TT",22.5813859497617
102,60,0.3,"TT",19.6212124650223
102,80,0.3,"TT",19.1913820369229
48,20,0.3,"TT",21.744451824971
48,40,0.3,"TT",19.9234786109489
48,60,0.3,"TT",17.8880997418442
48,80,0.3,"TT",16.428432513862
66,20,0.3,"TT",20.8603503050335
66,40,0.3,"TT",17.927099271728
66,60,0.3,"TT",15.4342664539919
66,80,0.3,"TT",13.8235926978839
84,20,0.3,"TT",21.0356455286505
84,40,0.3,"TT",20.7094304609351
84,60,0.3,"TT",16.8475323770827
84,80,0.3,"TT",16.5466939327946
102,20,0.3,"TT",22.5287258001034
102,40,0.3,"TT",21.4521421578352
102,60,0.3,"TT",19.9291578386207
102,80,0.3,"TT",17.003987859796
48,20,0.3,"TT",20.2555701345374
48,40,0.3,"TT",18.8391147444228
48,60,0.3,"TT",16.352710255184
48,80,0.3,"TT",15.654205230082
66,20,0.3,"TT",20.3094770953838
66,40,0.3,"TT",18.4407798471474
66,60,0.3,"TT",16.713134765337
66,80,0.3,"TT",15.0797517930724
84,20,0.3,"TT",21.5296164833706
84,40,0.3,"TT",18.4756124303403
84,60,0.3,"TT",19.3535904233573
84,80,0.3,"TT",15.3045001186383
102,20,0.3,"TT",20.9270428061102
102,40,0.3,"TT",21.4235238733465
102,60,0.3,"TT",21.2450827997209
102,80,0.3,"TT",17.6558202345736
48,20,0.3,"TT",21.7636774936677
48,40,0.3,"TT",18.2530750359914
48,60,0.3,"TT",18.7200768869727
48,80,0.3,"TT",15.4510209760938
66,20,0.3,"TT",21.2804125333847
66,40,0.3,"TT",18.584242399512
66,60,0.3,"TT",15.5190252009313
66,80,0.3,"TT",13.0214995750658
84,20,0.3,"TT",21.4644444097478
84,40,0.3,"TT",20.1309947961271
84,60,0.3,"TT",19.1105538647006
84,80,0.3,"TT",15.7420829921916
102,20,0.3,"TT",21.5920326290064
102,40,0.3,"TT",22.167337012639
102,60,0.3,"TT",21.6857965784262
102,80,0.3,"TT",19.201415204668
48,20,0.3,"TT",18.8935344836203
48,40,0.3,"TT",22.1710926811048
48,60,0.3,"TT",18.9957788767961
48,80,0.3,"TT",14.6282458617783
66,20,0.3,"TT",20.7441951694781
66,40,0.3,"TT",18.3256855458308
66,60,0.3,"TT",14.9769903706641
66,80,0.3,"TT",13.4525266868405
84,20,0.3,"TT",19.2791861269023
84,40,0.3,"TT",19.8671855057297
84,60,0.3,"TT",18.2409588137583
84,80,0.3,"TT",17.0855068744204
102,20,0.3,"TT",20.5338083297826
102,40,0.3,"TT",21.6103648485112
102,60,0.3,"TT",20.4184372655936
102,80,0.3,"TT",18.4952550945761
48,20,0.3,"TT",20.489081567601
48,40,0.3,"TT",20.3925353017187
48,60,0.3,"TT",18.7032483186611
48,80,0.3,"TT",13.8596673018424
66,20,0.3,"TT",20.5854151421392
66,40,0.3,"TT",21.0519805275708
66,60,0.3,"TT",16.4679770775146
66,80,0.3,"TT",13.7345744620345
84,20,0.3,"TT",22.8132968978571
84,40,0.3,"TT",19.2782477293019
84,60,0.3,"TT",18.0114740535797
84,80,0.3,"TT",16.4541268337068
102,20,0.3,"TT",21.3641432553442
102,40,0.3,"TT",23.2760647339337
102,60,0.3,"TT",19.9022625288716
102,80,0.3,"TT",17.709100480851
48,20,0.3,"TT",22.9965102087671
48,40,0.3,"TT",21.2570710817058
48,60,0.3,"TT",14.9900223535933
48,80,0.3,"TT",13.9291312833854
66,20,0.3,"TT",19.8305061266223
66,40,0.3,"TT",18.7679136044329
66,60,0.3,"TT",16.2411005386242
66,80,0.3,"TT",13.9938850028211
84,20,0.3,"TT",21.407472250851
84,40,0.3,"TT",19.9658435356402
84,60,0.3,"TT",19.0482994449391
84,80,0.3,"TT",15.2161965425724
102,20,0.3,"TT",22.120042006687
102,40,0.3,"TT",22.8389316069283
102,60,0.3,"TT",20.4690574303999
102,80,0.3,"TT",18.1630598620552
48,20,0.3,"TT",20.1586218555026
48,40,0.3,"TT",17.6200793519752
48,60,0.3,"TT",17.0546492568489
48,80,0.3,"TT",15.8379664731442
66,20,0.3,"TT",21.6802169096911
66,40,0.3,"TT",17.0423327609806
66,60,0.3,"TT",17.2521711072239
66,80,0.3,"TT",14.7325817286752
84,20,0.3,"TT",22.5003639053573
84,40,0.3,"TT",22.8902841388758
84,60,0.3,"TT",19.2217627182546
84,80,0.3,"TT",15.2434600218573
102,20,0.3,"TT",20.7176082164229
102,40,0.3,"TT",20.286830615782
102,60,0.3,"TT",21.6221520804785
102,80,0.3,"TT",18.4903391130609
48,20,0.3,"TT",22.7071448898438
48,40,0.3,"TT",20.1272866957127
48,60,0.3,"TT",19.5671948355092
48,80,0.3,"TT",15.7909876144163
66,20,0.3,"TT",21.6131922730648
66,40,0.3,"TT",18.2526625423016
66,60,0.3,"TT",16.7947172011204
66,80,0.3,"TT",13.9107462015342
84,20,0.3,"TT",20.793502576442
84,40,0.3,"TT",19.9704257572138
84,60,0.3,"TT",17.3332144072929
84,80,0.3,"TT",17.2818389772995
102,20,0.3,"TT",24.7767923554941
102,40,0.3,"TT",22.9772303238964
102,60,0.3,"TT",20.1983811010059
102,80,0.3,"TT",20.5068594572814
48,20,0.3,"TT",21.7631579038358
48,40,0.3,"TT",19.7018164983986
48,60,0.3,"TT",17.4408615843937
48,80,0.3,"TT",16.3985649367104
66,20,0.3,"TT",19.5395782479294
66,40,0.3,"TT",17.7505247424388
66,60,0.3,"TT",16.5380687755577
66,80,0.3,"TT",13.52894086456
84,20,0.3,"TT",22.6078960194165
84,40,0.3,"TT",20.3970113384924
84,60,0.3,"TT",18.1734868519196
84,80,0.3,"TT",15.5257673046302
102,20,0.3,"TT",23.6655239622417
102,40,0.3,"TT",20.6891208469546
102,60,0.3,"TT",21.3255378734971
