"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
75,0,0.2,"TT",21.7941084240005
75,5,0.2,"TT",22.0188474920859
75,10,0.2,"TT",20.3183926304067
75,15,0.2,"TT",22.0577596405402
75,20,0.2,"TT",23.4205997379234
75,25,0.2,"TT",20.6397080856266
75,30,0.2,"TT",18.7116356389704
75,35,0.2,"TT",19.4652410729147
75,0,0.2,"TT",21.6167122044914
75,5,0.2,"TT",22.8553352889768
75,10,0.2,"TT",21.0885663018771
75,15,0.2,"TT",20.4903007858287
75,20,0.2,"TT",21.6188031634077
75,25,0.2,"TT",22.2393819902549
75,30,0.2,"TT",21.3254569532824
75,35,0.2,"TT",18.7719776600539
75,0,0.2,"TT",23.9349846381114
75,5,0.2,"TT",21.9969321893486
75,10,0.2,"TT",21.8305947623325
75,15,0.2,"TT",20.7796577606072
75,20,0.2,"TT",20.8948095823113
75,25,0.2,"TT",20.2912584509907
75,30,0.2,"TT",17.7990030413486
75,35,0.2,"TT",18.592560320859
75,0,0.2,"TT",23.6042794107483
75,5,0.2,"TT",22.6777575755878
75,10,0.2,"TT",21.5059533424278
75,15,0.2,"TT",22.6324393100305
75,20,0.2,"TT",21.8653884167221
75,25,0.2,"TT",19.2461899896376
75,30,0.2,"TT",20.2297880623525
75,35,0.2,"TT",21.6773409535984
75,0,0.2,"TT",23.3101175707703
75,5,0.2,"TT",21.9678806934531
75,10,0.2,"TT",21.1788220781082
75,15,0.2,"TT",23.2439481320541
75,20,0.2,"TT",20.4406643457919
75,25,0.2,"TT",20.2499608580797
75,30,0.2,"TT",20.2673034820606
75,35,0.2,"TT",20.5641218268404
75,0,0.2,"TT",22.2566420928841
75,5,0.2,"TT",24.3846068552956
75,10,0.2,"TT",20.4011863093889
75,15,0.2,"TT",21.1149551070015
75,20,0.2,"TT",21.5952889401297
75,25,0.2,"TT",19.9247751333552
75,30,0.2,"TT",21.5770297873191
75,35,0.2,"TT",20.3114458395521
75,0,0.2,"TT",21.4775466575189
75,5,0.2,"TT",22.2892565428157
75,10,0.2,"TT",20.2701190269671
75,15,0.2,"TT",20.0537596849426
75,20,0.2,"TT",20.2473323211611
75,25,0.2,"TT",18.9965106226591
75,30,0.2,"TT",19.848060908208
75,35,0.2,"TT",19.1492489162688
75,0,0.2,"TT",22.1369676971402
75,5,0.2,"TT",23.6865799663708
75,10,0.2,"TT",21.7975309360711
75,15,0.2,"TT",21.9109558913126
75,20,0.2,"TT",21.9985067012791
75,25,0.2,"TT",20.5039217332668
75,30,0.2,"TT",21.0742198354635
75,35,0.2,"TT",18.6212825293158
75,0,0.2,"TT",21.1008216853504
75,5,0.2,"TT",21.9298431646467
75,10,0.2,"TT",21.4197600515956
75,15,0.2,"TT",20.1570268798344
75,20,0.2,"TT",21.8774059747824
75,25,0.2,"TT",19.93473068542
75,30,0.2,"TT",21.8220342080576
75,35,0.2,"TT",19.5704318210016
75,0,0.2,"TT",21.2452645442792
75,5,0.2,"TT",22.1692232735354
75,10,0.2,"TT",21.6905036833765
75,15,0.2,"TT",22.6307430754336
75,20,0.2,"TT",21.5348814541333
75,25,0.2,"TT",21.5067180971473
75,30,0.2,"TT",20.8734879899447
75,35,0.2,"TT",20.1126905142558
75,0,0.2,"TT",21.4434438769919
75,5,0.2,"TT",22.2055796330445
75,10,0.2,"TT",21.1898889179254
75,15,0.2,"TT",19.2739787532342
75,20,0.2,"TT",21.6642418529666
75,25,0.2,"TT",21.2300393419222
75,30,0.2,"TT",22.6776716880812
75,35,0.2,"TT",18.7369338304349
75,0,0.2,"TT",23.3307964924277
75,5,0.2,"TT",23.9350842543119
75,10,0.2,"TT",22.4419235223272
75,15,0.2,"TT",24.661578030899
75,20,0.2,"TT",22.6768635277634
75,25,0.2,"TT",18.4302678514279
75,30,0.2,"TT",20.0644197577161
75,35,0.2,"TT",19.461650151659
75,0,0.2,"TT",23.6327419011256
75,5,0.2,"TT",23.0567115307711
75,10,0.2,"TT",23.5023993239762
75,15,0.2,"TT",21.9781312921504
75,20,0.2,"TT",22.0210556151786
75,25,0.2,"TT",20.550236733156
75,30,0.2,"TT",20.1745533388629
75,35,0.2,"TT",19.0133080620714
75,0,0.2,"TT",22.8491583131313
75,5,0.2,"TT",22.3394462589737
75,10,0.2,"TT",21.0174421450149
75,15,0.2,"TT",20.2620313894256
75,20,0.2,"TT",22.0079169072488
75,25,0.2,"TT",19.511763927475
75,30,0.2,"TT",22.0153224790335
75,35,0.2,"TT",17.9998648063046
