"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
66,75,0.1,"TT",14.0380232558014
66,75,0.2,"TT",13.6439579332838
66,75,0.3,"TT",14.2890763067109
66,75,0.4,"TT",14.9584406522108
66,75,0.5,"TT",12.5960517360789
66,75,0.1,"TT",13.4974262135041
66,75,0.2,"TT",14.1857928954226
66,75,0.3,"TT",12.0203545760401
66,75,0.4,"TT",14.823855272643
66,75,0.5,"TT",14.1469213624117
66,75,0.1,"TT",14.374296560573
66,75,0.2,"TT",13.8279332544523
66,75,0.3,"TT",14.3790005894132
66,75,0.4,"TT",15.4973115607652
66,75,0.5,"TT",13.4406304366577
66,75,0.1,"TT",14.4158863683097
66,75,0.2,"TT",14.0616164645627
66,75,0.3,"TT",15.213381041245
66,75,0.4,"TT",12.8727797746341
66,75,0.5,"TT",13.7904928083164
66,75,0.1,"TT",15.4092084778961
66,75,0.2,"TT",12.9700643032606
66,75,0.3,"TT",13.7574745385937
66,75,0.4,"TT",13.305671723085
66,75,0.5,"TT",14.3552636367605
66,75,0.1,"TT",13.3557022365956
66,75,0.2,"TT",14.9078980615677
66,75,0.3,"TT",13.6520871749056
66,75,0.4,"TT",12.9475155845774
66,75,0.5,"TT",16.0724144964955
66,75,0.1,"TT",13.428523398337
66,75,0.2,"TT",15.6855426943363
66,75,0.3,"TT",14.9597608504328
66,75,0.4,"TT",15.009134114225
66,75,0.5,"TT",12.8363689516559
66,75,0.1,"TT",13.398419014959
66,75,0.2,"TT",12.5331051366575
66,75,0.3,"TT",16.0865253189595
66,75,0.4,"TT",14.2028148109249
66,75,0.5,"TT",12.5037812304505
66,75,0.1,"TT",15.3877250890323
66,75,0.2,"TT",14.7010081707186
66,75,0.3,"TT",13.5042345805184
66,75,0.4,"TT",13.3314438415183
66,75,0.5,"TT",13.4918041895017
66,75,0.1,"TT",11.4659028350141
66,75,0.2,"TT",14.6017813098268
66,75,0.3,"TT",12.6214127157256
66,75,0.4,"TT",14.0298881330495
66,75,0.5,"TT",14.0746259181676
66,75,0.1,"TT",13.0823402662551
66,75,0.2,"TT",14.1541123758943
66,75,0.3,"TT",14.84443453155
66,75,0.4,"TT",13.6720898244939
66,75,0.5,"TT",16.0149862295512
66,75,0.1,"TT",13.5619999559732
66,75,0.2,"TT",13.2564859834704
66,75,0.3,"TT",17.2981963215075
66,75,0.4,"TT",16.0320988991964
66,75,0.5,"TT",13.8083513973578
66,75,0.1,"TT",15.3878295671743
66,75,0.2,"TT",14.798360650507
66,75,0.3,"TT",14.3839999926008
66,75,0.4,"TT",12.2778975148943
66,75,0.5,"TT",15.6785475078313
66,75,0.1,"TT",14.3584495669876
66,75,0.2,"TT",15.8981602151014
66,75,0.3,"TT",14.0494566878533
66,75,0.4,"TT",13.1477346101747
66,75,0.5,"TT",15.2219560828388
66,75,0.1,"TT",13.7943954962519
66,75,0.2,"TT",13.324553033891
66,75,0.3,"TT",13.8868824760883
66,75,0.4,"TT",13.4741730161348
66,75,0.5,"TT",13.9284038111054
66,75,0.1,"TT",13.8890593145206
66,75,0.2,"TT",14.1091937228684
66,75,0.3,"TT",13.8192093833611
66,75,0.4,"TT",13.0555203880009
66,75,0.5,"TT",13.5272985571632
66,75,0.1,"TT",14.0301931137591
66,75,0.2,"TT",12.1316470828146
66,75,0.3,"TT",14.0602608869875
66,75,0.4,"TT",11.5962396346141
66,75,0.5,"TT",13.1944324501554
66,75,0.1,"TT",12.6968361398168
66,75,0.2,"TT",15.3762451046278
66,75,0.3,"TT",13.2723871140375
66,75,0.4,"TT",13.9938523425941
66,75,0.5,"TT",13.713563813855
66,75,0.1,"TT",13.4631357891017
66,75,0.2,"TT",14.5423400321722
66,75,0.3,"TT",12.7154380556039
66,75,0.4,"TT",13.0024659272881
66,75,0.5,"TT",13.3219801197602
66,75,0.1,"TT",14.7729431264677
66,75,0.2,"TT",14.882246264088
66,75,0.3,"TT",12.972341102809
66,75,0.4,"TT",11.829893519902
66,75,0.5,"TT",14.6975424933512
66,75,0.1,"TT",13.9339231721538
66,75,0.2,"TT",13.0399679688038
66,75,0.3,"TT",14.6317116315689
66,75,0.4,"TT",14.1168408779622
66,75,0.5,"TT",14.1608123886319
66,75,0.1,"TT",15.3012547025355
66,75,0.2,"TT",13.677033460962
66,75,0.3,"TT",15.6304163317968
66,75,0.4,"TT",12.7145813107573
66,75,0.5,"TT",15.2559976579798
66,75,0.1,"TT",13.5891208070595
66,75,0.2,"TT",15.5818440260017
66,75,0.3,"TT",15.0978351696237
66,75,0.4,"TT",15.7261235912084
66,75,0.5,"TT",15.2320610327308
66,75,0.1,"TT",13.1170972308782
66,75,0.2,"TT",14.5304603746033
66,75,0.3,"TT",14.7179847448962
66,75,0.4,"TT",14.1581190022831
66,75,0.5,"TT",13.8510757889886
66,75,0.1,"TT",14.460065702072
66,75,0.2,"TT",12.3160090875768
66,75,0.3,"TT",13.7301205602123
66,75,0.4,"TT",14.8921338787944
66,75,0.5,"TT",16.1350004510556
66,75,0.1,"TT",13.4973419780458
66,75,0.2,"TT",14.6052612560638
66,75,0.3,"TT",15.2463372965755
66,75,0.4,"TT",12.9361726026733
66,75,0.5,"TT",13.9070147836259
66,75,0.1,"TT",14.7275636338518
66,75,0.2,"TT",13.3940244873717
66,75,0.3,"TT",13.7834269021466
66,75,0.4,"TT",13.4546626987881
66,75,0.5,"TT",14.2527461148181
66,75,0.1,"TT",13.0872519257633
66,75,0.2,"TT",12.6639465705424
66,75,0.3,"TT",15.1794513794733
66,75,0.4,"TT",14.3311029093043
66,75,0.5,"TT",14.7421116793881
66,75,0.1,"TT",15.8243871529956
66,75,0.2,"TT",12.2496532444733
66,75,0.3,"TT",13.1561064573971
66,75,0.4,"TT",13.6279929589363
66,75,0.5,"TT",14.4953961479211
66,75,0.1,"TT",13.2732325777257
66,75,0.2,"TT",14.5653855881658
66,75,0.3,"TT",14.1920835962579
66,75,0.4,"TT",13.884983755241
66,75,0.5,"TT",14.7662874407483
66,75,0.1,"TT",14.439096514724
66,75,0.2,"TT",11.2942239293135
66,75,0.3,"TT",13.4813495441007
66,75,0.4,"TT",14.2978694120324
66,75,0.5,"TT",14.1355300567302
66,75,0.1,"TT",14.0966364423216
66,75,0.2,"TT",12.6603840512238
66,75,0.3,"TT",15.14242963874
66,75,0.4,"TT",13.9230803288586
66,75,0.5,"TT",13.6919429060178
66,75,0.1,"TT",14.761960777289
66,75,0.2,"TT",12.1577340228353
66,75,0.3,"TT",11.3114262847831
66,75,0.4,"TT",14.2041650769127
66,75,0.5,"TT",15.6814996026073
66,75,0.1,"TT",14.2246379933381
66,75,0.2,"TT",13.5874849747541
